term_id	chinese_primary	technical_form	category	plain_definition_zh	panfamflow_usage_zh	is_internal	first_use_anchor
gff3	基因注释文件格式	GFF3	SOFTWARE_OR_FORMAT	用九列记录基因、转录本和外显子等坐标关系的格式。	必须与基因组 FASTA 来自同一版本。	FALSE	start
tsv	制表符分隔表格	TSV	SOFTWARE_OR_FORMAT	使用制表符分隔字段、适合程序读取和版本审计的纯文本表格。	多数规范结果同时提供 TSV，便于审计和再分析。	FALSE	output-reader
xlsx	电子表格工作簿	XLSX	SOFTWARE_OR_FORMAT	便于人工浏览、筛选和批注的电子表格格式。	与 TSV 同时提供，便于人工查看；不能替代机器可审计的 TSV。	FALSE	output-reader
pdf-png	矢量图与高分辨率位图	PDF / PNG	SOFTWARE_OR_FORMAT	PDF 适合保留矢量元素，PNG 适合网页预览。	正式图件按配置同时输出，当前页面不嵌入远程图片。	FALSE	acceptance
yaml	配置文件格式	YAML / config.yaml	SOFTWARE_OR_FORMAT	用缩进表示层级结构、供流程读取配置参数的文本格式。	日常主要编辑入口是 config.yaml，必须先通过校验。	FALSE	config-generator
stable-id	全流程稳定基因标识	stable_id	PANFAMFLOW_FIELD	PanFamFlow 为每个物种基因生成或规范化的唯一主键。	默认形式为物种标识与基因标识组合，用于跨表连接；这是 PanFamFlow 内部字段。	TRUE	glossary
analysis-scope	分析范围声明	analysis_scope	PANFAMFLOW_FIELD	记录本次运行分析的对象范围，防止把目标家族分析误写成全基因组泛基因组。	规范值要求目标泛基因家族范围；这是 PanFamFlow 内部字段。	TRUE	glossary
orthology-group-type	正交组结果类型	orthology_group_type	PANFAMFLOW_FIELD	说明当前读取的是 HOG 还是普通 Orthogroup。	用于阻止自动回退结果被误称为固定节点 HOG；这是 PanFamFlow 内部字段。	TRUE	evidence-states
hog-node-status	正交组节点状态	hog_node_status	PANFAMFLOW_FIELD	记录节点是显式冻结、自动发现还是回退获得。	解读占有分类前必须先查看；这是 PanFamFlow 内部字段。	TRUE	evidence-states
presence-basis	存在判定依据	presence_basis	PANFAMFLOW_FIELD	说明“存在”是依据注释和正交组成员关系，而不是基因组回查。	用于限制缺失结论强度；这是 PanFamFlow 内部字段。	TRUE	glossary
absence-validation-status	缺失验证状态	absence_validation_status	PANFAMFLOW_FIELD	说明未检出记录是否经过基因组层面的救援检查。	当前结果通常明确标记为未进行基因组回查；这是 PanFamFlow 内部字段。	TRUE	glossary
expression-data-status	表达单元数据状态	expression_data_status	PANFAMFLOW_FIELD	记录一个基因或表达单元是否有可用输入。	应与逐单元的缺失和不适用状态一起解释；这是 PanFamFlow 内部字段。	TRUE	glossary
implemented-state	已实现	IMPLEMENTED	PANFAMFLOW_STATUS	表示该条目存在直接规则、执行脚本和规范输出路径。	这是教程能力矩阵的 PanFamFlow 内部机器值，不代表任意真实数据都已通过生物学验收。	TRUE	evidence-states
conditional-state	有条件可用	CONDITIONALLY_AVAILABLE	PANFAMFLOW_STATUS	表示已有基础数据，但还缺连接、分母、统计或专用展示。	这是教程能力矩阵的 PanFamFlow 内部机器值，不能写成已经完整实现。	TRUE	evidence-states
external-import-state	需外部分析结果	EXTERNAL_IMPORT	PANFAMFLOW_STATUS	表示该统计应在外部按完整设计完成后再导入。	这是教程能力矩阵的 PanFamFlow 内部机器值，尤其用于差异表达结果。	TRUE	evidence-states
not-supported-state	当前未支持	NOT_SUPPORTED	PANFAMFLOW_STATUS	表示当前没有可信的完整执行路径或规范输出。	这是教程能力矩阵的 PanFamFlow 内部机器值，不得隐藏或降级措辞。	TRUE	evidence-states
auto-orthogroup-fallback	自动回退到普通正交组	AUTO_ORTHOGROUP_FALLBACK	PANFAMFLOW_STATUS	自动模式没有公开 HOG 表时，流程使用普通 Orthogroup 的状态标记。	这是 PanFamFlow 内部状态码；正式多物种结果不得把该回退冒充冻结 HOG。	TRUE	start
missing-in-input	输入中缺失	MISSING_IN_INPUT	PANFAMFLOW_STATUS	该表达单元按设计应适用，但输入矩阵没有给出值。	这是 PanFamFlow 内部状态码，不能自动填成零。	TRUE	filters
not-applicable	设计上不适用	NOT_APPLICABLE	PANFAMFLOW_STATUS	样本与该物种或基因单元在设计上不存在可比关系。	这是 PanFamFlow 内部状态码，不能与缺失值混为一类。	TRUE	filters
target-family-only	仅限目标基因家族	TARGET_GENE_FAMILY_ONLY	PANFAMFLOW_STATUS	声明输出只对配置的目标家族进行分类，不是全基因组 HOG 产品。	这是 PanFamFlow 内部固定值，用于锁定分析范围。	TRUE	glossary
potential-saturation	可能同义替换饱和	POTENTIAL_SATURATION	PANFAMFLOW_STATUS	表示 Ks 达到配置阈值，成对估计可能失真。	这是 PanFamFlow 内部质量标记，记录风险而不是自动删除结果。	TRUE	chapter-9
