source_id	beginner_title_zh	beginner_question_zh	beginner_input_zh	beginner_output_zh	beginner_read_zh	beginner_warning_zh
9.3	按复制来源比较编码变化	不同复制来源的基因对，编码变化模式是否不同？	逐基因对变化结果和复制来源分类。	各复制来源的变化率与比值比较图和统计表。	先确认一个基因对如何归类，再看去掉重复配对后的数量和差异大小。	同一基因参加多个配对会造成重复，不能把所有基因对都当成互不重复的证据。
9.4	比较大片段复制和局部复制产生的基因	来自大片段复制和较小范围复制的基因，编码变化模式是否不同？	可靠的复制来源、基因对变化结果和用于识别重复配对的信息。	两类复制来源的变化率、比值和差异大小表。	先看每类去掉重复配对后还有多少，再看差异方向和大小，最后看综合判断结果。	两类之间的差异不等于复制方式造成了变化，还可能受形成时间和材料构成影响。
9.5	查看基因对积累了多少不改变蛋白的变化	哪些基因对积累的不改变蛋白变化较多，是否出现明显峰值？	逐位置排齐且通过质量检查的基因对编码序列。	逐基因对变化值分布表和图。	先排除接近零或过大的不可靠值，再看分布和可能峰值。	峰值只能作为形成时间相近的线索；没有可靠参照时不能直接换算成年代。
9.6	比较各组不改变蛋白的编码变化	不同家族分组的基因对，不改变蛋白的编码变化是否不同？	逐基因对变化结果和家族分组。	各分组的分布图、样本数和汇总表。	先看每组可用基因对数和去掉重复配对后的数量，再比较中间水平和分布范围。	分布差异可能来自基因对组成和重复计数，不能直接认定形成时间不同。
9.7	检查变化比值是否可靠	哪些基因对的比值因用于相除的数太小、序列没有排齐或变化过多而不稳定？	逐基因对两类变化率、序列排齐质量和计算状态。	一张质量检查表，标记可靠、需谨慎和不能计算的记录。	先读质量状态，再读数值；任何被标为不稳定的极端值都应单独处理。	极端比值很醒目，但往往最容易误读，不能为了图好看而隐藏质量警告。
9.8	同时比较材料群体和家族分组	编码变化是否在“材料群体”和“家族分组”的组合中呈现一致差别？	逐基因对变化结果、材料群体、家族分组和用于识别重复配对的信息。	每个组合的汇总表、差异图和只在样本足够时给出的判断结果。	先看每个组合去掉重复配对后还有多少，再看差异大小；样本不足时只描述看到的现象。	组合差异容易与物种关系混在一起，不能把同时出现的模式写成群体造成的结果。
9.9	查看复制来源和家族分组的组合差异	不同复制来源在各家族分组中的编码变化是否表现一致？	逐基因对变化、复制来源、家族分组和用于识别重复配对的信息。	每个组合的汇总表和比较图。	先检查没有记录的组合和样本数，再比较中间水平与范围，最后看质量警告。	组合中的极端值可能来自少数基因对，不能据此概括整个家族分组。
10.1	统计四类上游信号的组成	家族基因起点前方找到的信号，四个大类各占多少？	每个基因起点前方的序列、已知信号对照库、分类对照表和全部目标基因。	四大类信号的出现次数、涉及基因数、按序列长度换算后的数量和圆环图。	先确认无法分类的信号和目标基因总数，再把出现次数、涉及基因比例和按长度换算后的数量分开看。	找到相似信号不等于它会真实结合、启动生物过程、比背景更多或直接造成表达变化。
10.2	比较四类上游信号的数量	四个大类在整个家族中分别出现于多少基因、出现多少次？	每次找到信号的记录和所有目标基因起点前方的序列。	四大类的总出现次数、涉及基因比例和按序列长度换算后的数量表。	若总次数多但涉及基因少，应检查是否集中在少数基因上。	总次数多不代表整个家族普遍具有这种调控能力。
10.3	查看具体上游信号的分布	每一种具体信号出现多少次，涉及多少家族基因？	每次找到信号的记录、具体信号名称和全部目标基因。	每种信号的出现次数、涉及基因数、涉及比例和按序列长度换算后的数量图表。	先看涉及基因比例，再看总次数；集中在少数基因上的重复出现要单独说明。	信号名称来自对照库的预测，不能直接当成已经验证的功能。
10.4	比较各家族分组在不同材料中的调控信号	不同材料的各家族分组，起点前方的信号数量是否不同？	逐基因信号、材料标签、家族分组和上游区域长度。	材料与家族分组组合的信号数量表和颜色图。	先看每格有多少基因和总上游长度，再比较信号数量。	材料和分组的样本数不同会影响总数，不能直接把颜色深浅当成调控强弱。
10.5	按各组自身范围显示材料与家族分组	去除不同信号总体数量差异后，各组合的相对高低模式是什么？	上一项的完整数量表，不能只保留图片。	按每种信号自身范围重新显示的颜色图和原始数值表。	颜色只用于看同一种信号内部的相对高低，必须回到原始表确认实际数量。	重新调整后的颜色不能比较不同信号的绝对多少，也不能证明某组确实比背景更多。
10.6	汇总各家族分组的上游信号	每个家族分组总体包含哪些上游信号，数量和涉及范围如何？	逐基因信号、家族分组和全部目标基因。	各家族分组的信号出现次数、涉及基因比例和按序列长度换算后的数量表。	先看每组基因数和上游总长度，再比较涉及比例与按长度换算后的数量。	分组大小不同会改变总次数，不能只看总数下结论。
10.7	按各组自身范围显示家族分组	各家族分组内部，哪些信号相对较高或较低？	上一项的完整数值表。	按每种信号自身范围显示的家族分组颜色图。	只在同一种信号的各家族分组之间比较颜色，并同时查看原始数值。	颜色图隐藏了绝对量级，不能用来比较不同信号谁更多。
10.8	汇总各材料的上游信号	每个材料的家族基因上游信号总体组成如何？	逐基因信号、材料名称、完整基因数和上游区域长度。	各材料的信号出现次数、涉及基因比例和按序列长度换算后的数量表。	先检查每个材料纳入多少基因和上游长度，再比较比例和按长度换算后的数量。	材料间差异可能来自基因组拼接和基因记录质量，不能直接解释为真实调控差异。
10.9	按各组自身范围显示材料差异	对于同一种信号，哪些材料相对较高或较低？	上一项的完整数值表。	按每种信号自身范围显示的材料颜色图。	只比较同一种信号在不同材料中的相对位置，并回看原始数值和用于计算比例的总数。	重新调整颜色会放大小差别，不能把颜色对比当成可靠差异。
10.10	汇总各材料群体的上游信号	不同材料群体的家族基因上游信号组成是否不同？	逐基因信号、可靠群体名称、全部目标基因和上游长度。	各群体的信号数量、涉及比例和按序列长度换算后的数量表。	先看每群体包含多少独立材料，再看材料层面的中间水平，而不是把所有基因混在一起。	群体与物种或数据质量互相影响时，不能把差异归因于驯化或适应。
10.11	按各组自身范围显示群体差异	对于同一种信号，哪些材料群体相对较高或较低？	上一项的完整群体数值表。	按每种信号自身范围显示的群体颜色图。	只在同一种信号内部比较群体，并核对独立材料数和原始数值。	颜色差异不等于统计可靠，更不等于群体造成了调控变化。
10.12	按成员有无分组汇总上游信号	不同成员有无分组中的上游信号数量和涉及范围是否不同？	逐基因信号、可靠的家族分组成员表和全部目标基因。	每个成员分组的出现次数、涉及比例、按序列长度换算后的数量和质量表。	先确认每个基因只连接到一个目标分组，再看未分配基因和目标基因总数。	看到差异不等于某组确实比背景更多，也不能证明真实结合或直接造成表达变化。
10.13	展示代表材料中的代表基因	在预先选定的代表材料中，代表基因携带哪些最常见上游信号？	代表材料规则、家族分组、逐基因信号和完整候选表。	代表基因选择原因、完整数值表和展示图。	先看代表基因为什么被选中，再看图；并列候选必须按固定规则处理。	代表基因只用于展示，不能代替全部基因，也不能把出现次数最多写成最重要。
10.14	只展示最常见的若干信号	当信号种类太多时，怎样在不丢失完整结果的前提下展示最常见部分？	完整信号统计表和预先确定的展示数量。	一张简化展示图，以及仍然保留全部信号的完整表。	先确认完整表没有被删除，再看入选规则和未展示部分所占比例。	没有画出来不等于不存在；入选展示也不等于生物学上更重要。
10.15	同时比较材料群体和家族分组的上游信号	材料群体与家族分组组合后，上游信号模式是否仍有差别？	逐基因信号、群体名称、家族分组、全部目标基因和上游长度。	每个组合的出现次数、涉及比例、按序列长度换算后的数量和颜色图。	先看每个组合的独立材料数和没有记录的格子，再看材料层面的差异，最后检查群体与物种是否互相影响。	组合颜色图只能描述当前数据，不能直接声称群体和家族分组共同造成调控变化。
11.1	比较常见成员和少见成员的活跃程度	普遍存在和较少见的家族成员，在可比样本中的表达检测率或相对活跃程度是否不同？	家族成员分类、表达数值、样本说明和可靠的基因连接表。	按四类成员汇总的样本数、检测比例、相对排名和图。	先在同一物种和可比条件内看样本数与缺失，再比较检测比例或相对排名。	不同物种的绝对表达数值不能直接混在一起比较，关联也不等于分类造成表达变化。
11.2	查看所有家族基因在各样本中的活跃图	哪些家族基因在什么样本中较活跃，整体模式和异常样本是什么？	每个基因在每个样本中的活跃程度数值表、样本说明和可靠家族成员表。	一张基因与样本的颜色图，以及对应数值和质量表。	先看同组样本是否靠在一起，再看缺失和异常样本，最后查看具体基因模式。	调整颜色范围后只能比较相对高低；它不能替代原始数值或严格的条件比较。
11.3	汇总多个处理条件下发生变化的基因	哪些家族基因在一个或多个预先确定的处理比较中发生了可靠变化？	每个基因在每个样本中的原始计数（必须是整数）、重复样本、样本分组和预先确定的比较方向。	每个比较的变化大小与判断把握，以及基因跨比较的有无表和总览图。	先看同组样本是否一致、计算是否稳定，再看变化大小与方向，最后比较不同条件是否重复出现。	普通活跃程度数值或颜色图不能代替严格比较；缺少重复和原始计数时不能报告可靠变化。
11.4	查看干旱、盐或温度处理后的基因变化	干旱、盐、温度等环境处理后，哪些家族基因的活跃程度发生可靠变化？	有对照、有独立重复的原始计数（必须是整数），以及组织、时间和处理说明。	每个预先确定比较的变化大小、方向、判断把握和整合图。	先确认对照与处理方向，再看同组样本是否一致和变化大小，最后看综合判断结果。	不同研究的组织、时间和批次不能直接混合；工程示例也不是实际水稻结论。
11.5	查看病原处理后的基因变化	病原感染或其他生物处理后，哪些家族基因的活跃程度发生可靠变化？	有对照、有独立重复的原始计数（必须是整数），以及病原、组织、时间和批次说明。	每个预先确定比较的变化大小、方向、判断把握和整合图。	先核对感染条件和采样时间，再看同组样本是否一致、变化大小和综合判断结果。	不同病原、组织和时间不能当成同一处理；缺少原始计数或重复时不能报告差异结果。
11.6	比较不同组织中四类成员的活跃程度	根、茎、叶等可比组织中，普遍和少见成员的表达模式是否不同？	表达数值、组织和物种说明、四类成员标签和可靠连接表。	按组织和四类成员汇总的样本数、活跃程度和图。	先在同一物种内核对组织和重复，再看每格样本数，最后比较相对模式。	不同物种的组织和绝对表达值不一定可直接比较，描述图也不能代替正式检验。
11.7	比较材料群体中各家族分组的活跃程度	不同材料群体的各家族分组，表达模式是否存在一致差别？	表达数值、群体标签、家族分组、独立重复和可比实验设计。	每个群体与家族分组组合的样本数、缺失情况、相对活跃程度和图。	先看每格是否有足够独立样本，再看缺失和相对模式；空格不能用零补齐。	群体与物种、批次或家族组成混杂时，不能把差异解释为驯化或适应造成。
