source_id	concept_zh	why_zh	input_headers_zh	input_row_zh	operation_zh	visual_type	visual_title_zh	x_axis_zh	y_axis_zh	legend_zh	output_headers_zh	output_rows_zh	plot_values	plot_colors	plot_value_label_zh	reading_question_zh	reading_answer_zh	normal_zh	stop_zh	next_zh
6.1	材料关系图描述材料之间的整体远近，成员有无图描述某个家族组在哪些材料中出现，两者不是同一对象。	并排比较两张图，可判断成员有无模式是否大致跟随材料关系，也能发现特殊材料。	材料｜关系分支｜家族组甲｜家族组乙	材料甲｜分支一｜有｜无	分别建立材料关系分支和成员有无格子，再按同一材料顺序并排查看，不把两类结果混为一谈。	paired	材料关系与成员有无并排图	按关系分支排列的材料	两个家族组的有无状态	左侧连线表示材料关系分支；右侧每行直接写出两个家族组的有或无	材料｜关系分支｜家族组甲｜家族组乙	材料甲｜分支一｜有｜无；材料乙｜分支一｜有｜有；材料丙｜分支二｜无｜有	1｜2｜1	blue｜green｜orange	两类对象中的检出数	材料甲和材料乙在两张图中有什么共同点？	两者都在分支一且都有家族组甲，但家族组乙的有无不同。	关系分支与有无状态使用同一材料顺序，未检出格子也有明确状态。	材料名单不一致、关系图缺少参照材料或空格来源不明时先暂停。	下一步展开每个家族组，列出具体成员和所在材料。
6.2	家族组把来自不同材料、来源相关的成员放在一起；一个组可以在某些材料中没有记录。	展开组内明细才能查出重复成员、错连材料和只在少数材料出现的组。	家族组｜基因｜所属材料｜连接依据	组甲｜基因甲｜材料甲｜关系稳定	逐组列出全部基因和材料，补齐未检出材料，并核对一个基因不能重复进入两个目标组。	matrix	家族组成员与材料明细	材料	家族组	绿色格表示有具体成员，灰格表示当前未检出	家族组｜材料｜成员｜状态	组甲｜材料甲｜基因甲｜已记录；组甲｜材料乙｜基因乙｜已记录；组甲｜材料丙｜无｜当前未检出	1｜1｜0	green｜green｜grey	是否记录	组甲在哪个材料中没有记录？	组甲在材料丙中当前未检出；这不等于已经证明该材料发生了基因丢失。	每个成员只出现一次，材料名单完整，未检出状态与输入记录一致。	同一基因进入多个组、材料名称无法对应或未检出格被静默删除时先暂停。	下一步汇总每个家族组的完整程度和异常记录，判断哪些组可靠。
6.3	组质量是对成员数、材料覆盖和异常记录的综合检查，不是给生物学重要性打分。	先筛出记录完整、连接稳定的组，可防止低质量分组干扰后续有无和变化分析。	家族组｜材料数｜成员数｜异常记录数	组甲｜八｜九｜零	按统一规则汇总材料覆盖、重复成员、异常长成员和缺失连接，并给出通过、复核或暂停。	bars	家族组质量检查	家族组	检查通过项目数	绿色为通过，橙色为需要复核，红色为暂停使用	家族组｜材料覆盖｜异常数｜结论	组甲｜八｜零｜通过；组乙｜三｜二｜复核；组丙｜一｜四｜暂停	0｜2｜4	green｜orange｜red	异常记录数	哪一个组可以直接进入后续统计？	组甲可进入；组乙要复核，组丙当前应暂停使用。	每个结论都有对应检查项，异常记录保留原始名称和原因。	质量结论没有依据、异常成员被删除后才通过或规则在组间改变时先暂停。	下一步只用通过或经复核确认的组，划分成员有无类型。
6.4	成员有无类型按一个家族组出现在多少材料中划分，界线必须预先写清楚。	四类分布可概括哪些成员普遍出现、哪些只在少数材料出现，并为后续比较提供统一标签。	家族组｜出现材料数｜总材料数｜成员数	组甲｜八｜八｜九	计算每组出现材料比例，再按固定界线分为普遍、较常见、较少见和单材料四类，同时报告组数和基因数。	bars	四类成员有无分布	成员有无类型	家族组数量	深色柱表示组数，浅色点表示对应基因数，两种总数不能混用	类型｜家族组数｜基因数｜出现范围	普遍｜二十｜二十五｜全部材料；较常见｜十二｜十八｜多数材料；较少见｜九｜十｜少数材料	20｜12｜9	green｜blue｜orange	家族组数量	为什么普遍类的组数和基因数不同？	一个家族组可能含有多个基因，所以组数二十与基因数二十五不应当相等。	四类界线固定，所有家族组恰好进入一类，组数合计与明细表一致。	分类界线未记录、同一组进入多类或组数合计对不上时先暂停。	下一步改变材料加入顺序，查看继续加入材料还能发现多少新家族组。
6.5	累积曲线记录材料逐个加入时已发现的不同家族组总数，新增曲线记录每一步新发现多少组。	它能评估当前材料数量是否接近稳定，但不能预测所有未采样材料。	加入步数｜已加入材料｜累计家族组数｜新增家族组数	三｜材料丙｜四十二｜五	使用多种材料顺序反复累计，分别记录总数曲线和新增数曲线，再汇总中间趋势与波动带。	curve	材料增加时家族组发现曲线	已加入材料数	累计家族组数	实线为中间趋势，浅色带为不同加入顺序的范围	材料数｜累计组数｜本步新增数	一｜二十｜二十；三｜四十二｜五；六｜五十｜一	20｜42｜50	blue｜green｜orange	累计家族组数量	加入到六个材料时还新增多少组？	教学数据中新增一个组，说明曲线趋缓但仍不能说已经发现全部家族组。	多种加入顺序都被保存，累计数不下降，新增数与前后累计差一致。	只运行一种材料顺序、累计数出现下降或新增数与累计差不符时先暂停。	下一步逐材料统计四类成员的实际数量，查看材料之间的组成差别。
6.6	实际数量回答每个材料中各类成员有几个，不受该材料总成员数换算影响。	先看实际数量可发现成员特别多或特别少的材料，也能检查分类汇总是否完整。	材料｜成员有无类型｜基因数量｜材料总成员数	材料甲｜普遍｜二十二｜四十	按材料和四类标签计数，补齐零值组合，并核对四类之和等于材料正式成员总数。	stacked	各材料四类成员数量	材料	四类成员的实际数量	每行文字列出四类数量；横条长度只表示显式合同中的四类成员总数，蓝色和绿色区分两个材料	材料｜普遍｜较常见｜较少见｜单材料	材料甲｜二十二｜十｜六｜二；材料乙｜二十｜九｜八｜一	40｜38	blue｜green	四类成员总数	哪个材料的较少见成员更多？	材料乙有八个，高于材料甲的六个；还要结合材料总数查看比例。	每个材料四类数量齐全，零值明确，四项之和与成员表一致。	某材料总和不一致、零值组合缺失或未确认成员被计入时先暂停。	下一步把每类数量换算成材料内部比例，避免总成员数不同带来的误导。
6.7	材料内部比例表示某类成员占该材料全部正式成员的份额，适合比较总成员数不同的材料。	数量和比例一起看，可区分绝对多与相对占比高。	材料｜成员有无类型｜该类数量｜材料总成员数	材料甲｜较少见｜六｜四十	用该类数量除以同一材料正式成员总数，四类比例之和应为百分之百。	bars	各材料四类成员比例	材料	材料内部比例	每种颜色代表一类成员，整根柱为百分之百	材料｜普遍比例｜较常见比例｜较少见比例｜单材料比例	材料甲｜百分之五十五｜百分之二十五｜百分之十五｜百分之五；材料乙｜百分之五十三｜百分之二十四｜百分之二十一｜百分之二	55｜53	blue｜green	普遍成员比例（百分数）	哪个材料的较少见成员占比更高？	材料乙为百分之二十一，高于材料甲的百分之十五。	每个材料的四类比例相加为百分之百，并能从数量表重算。	比例总和明显偏离百分之百、材料总成员数为零或数量表发生变化时先暂停。	下一步查看四类成员主要分布在哪些家族分组中。
6.8	成员有无类型和家族分组是两个不同标签，把它们交叉可以看到哪类成员集中在哪些分组。	交叉分布有助于挑选值得后续研究的分组，同时避免把成员数量多误写成特殊作用。	基因｜成员有无类型｜家族分组｜所属材料	基因甲｜普遍｜甲组｜材料甲	按类型和家族分组补齐全部组合，分别统计基因数和涉及材料数。	matrix	成员有无类型与家族分组交叉表	家族分组	成员有无类型	颜色表示基因数，格内另列涉及材料数	类型｜家族分组｜基因数｜材料数	普遍｜甲组｜十二｜八；较少见｜甲组｜三｜三；单材料｜乙组｜二｜一	12｜3｜2	blue｜blue｜blue	成员数量	甲组中哪一类成员最多？	普遍类有十二个最多，但这可能因为甲组本身成员较多。	所有类型与分组组合都有格子，基因数总和与成员明细一致。	交叉表丢失零值、成员标签缺失或同一基因被重复计数时先暂停。	下一步把成员放到染色体上，检查位置和密度分布。
7.1	染色体位置由染色体名称和起止坐标共同确定，同一染色体上的相邻基因不一定来源相同。	先在代表材料上画出位置，可直观看到成员是否成簇、是否偏向某些染色体区域。	基因｜染色体｜起点｜终点	基因甲｜第一染色体｜一百二十万｜一百二十万零五千	按染色体长度画出每条染色体，再把可靠成员标到对应坐标，并保留基因方向。	chromosome	代表材料的染色体成员位置	染色体坐标	家族成员	圆点表示成员位置，颜色表示家族分组，线段长度表示染色体长度	基因｜染色体｜位置｜家族分组	基因甲｜第一染色体｜一百二十万｜甲组；基因乙｜第一染色体｜一百三十万｜甲组；基因丙｜第三染色体｜九十万｜乙组	1200000｜1300000｜900000	blue｜green｜orange	染色体坐标	第一染色体上的两个成员是否靠得较近？	基因甲和基因乙相距十万，图上较近；仍需后续复制证据判断它们为何相邻。	所有成员坐标都落在对应染色体长度内，名称与代表材料注释一致。	坐标超出染色体、染色体名称对不上或同一基因出现多个冲突位置时先暂停。	下一步扩展到所有材料，比较同一染色体编号上的整体分布。
7.2	跨材料位置比较要求染色体编号和参考版本可对应，不能把无法对应的片段强行放在一起。	把多个材料并排，可区分代表材料特有位置与多材料重复出现的位置模式。	材料｜基因｜染色体｜相对位置	材料甲｜基因甲｜第一染色体｜百分之二十	先把每个坐标换算成所在染色体的相对位置，再按材料并排展示，无法对应的记录单列。	chromosome	多材料染色体成员位置	染色体相对位置	材料	相同颜色表示同一家族分组，不同横行表示不同材料	材料｜染色体｜成员数｜主要位置范围	材料甲｜第一染色体｜四｜百分之十至百分之三十；材料乙｜第一染色体｜三｜百分之十五至百分之四十	4｜3	blue｜green	基因数量	两个材料的主要位置范围是否完全相同？	不完全相同，但有部分重叠；不能仅凭位置范围断言发生结构变化。	每个材料使用自己的染色体长度换算，相对位置在零到百分之百之间。	染色体版本混杂、长度未知或未定位片段被当作正式染色体时先暂停。	下一步按染色体汇总成员数和每段长度内的成员密度。
7.3	染色体成员数受染色体长短影响，密度把成员数与染色体长度同时考虑；未定位成员必须单独列出。	同时报告数量和密度，可避免把长染色体自然容纳更多成员误写成位置偏好。	材料｜染色体｜成员数｜染色体长度	材料甲｜第一染色体｜四｜四千万	逐染色体统计成员数和固定长度内成员数，无法定位的成员另设一行且不计算密度。	bars	染色体成员数量与密度	染色体或未定位类别	实际成员数与固定长度内成员数	每行直接写出实际成员数和密度；未定位行明确标记不计算	类别｜实际成员数｜每千万长度成员数｜说明	第一染色体｜四｜一｜坐标完整；第二染色体｜二｜零点六｜坐标完整；未定位｜一｜不计算｜不归入任何染色体	1｜0.6｜0	green｜blue｜grey	每百万长度基因数	哪条染色体实际成员更多，未定位成员有几个？	第一染色体实际成员更多且密度更高；另有一个未定位成员，不属于第二染色体。	数量、长度、密度和独立未定位行都能从位置明细重算。	染色体长度缺失、长度单位混乱或未定位成员被归到某条染色体时先暂停。	下一步结合位置与相似关系，判断家族成员可能通过哪些复制方式产生。
8.1	复制类型是对相似基因产生位置关系的描述，例如彼此相邻、相距较远或位于大片对应区域；证据不足者单列待定。	先看每个材料中各种复制来源的组成，可形成家族扩展方式的初步轮廓。	材料｜基因｜复制类型｜判断依据	材料甲｜基因甲｜相邻复制｜紧邻相似基因	按预先规则给每个成员分配复制类型，无法判断的记录保留为待定，再按材料计数。	bars	单个材料的复制类型组成	复制类型	成员数量与比例	每行直接写出一种位置关系的成员数和比例，灰色待定行不并入任何正式类型	复制类型｜成员数｜比例｜待复核数	相邻复制｜十二｜百分之四十｜零；远处复制｜九｜百分之三十｜一；大片段复制｜六｜百分之二十｜零；待定｜三｜百分之十｜三	40｜30｜20｜10	blue｜green｜orange｜grey	成员比例（百分数）	教学材料中哪种正式复制类型最多？	相邻复制有十二个最多；三名待定成员只表示证据不足，不构成第四种复制机制。	三种正式类型与待定合计三十个、比例合计百分之百，且每个成员只出现一次。	一个基因进入多个互斥类型、待定记录被删除或比例合计不为百分之百时先暂停。	下一步把多个材料的复制类型并排，比较整体组成是否一致。
8.2	综合分布把每个材料的复制类型数量放在同一张图中，材料总成员数不同仍需同时看比例。	跨材料比较可发现某种复制方式是否在多个材料中反复偏多，也能识别异常材料。	材料｜复制类型｜成员数｜材料总成员数	材料甲｜相邻复制｜十二｜三十	补齐材料与复制类型组合，计算实际数量和材料内部比例，再并排展示。	matrix	多材料复制类型综合分布	材料	复制类型	颜色深浅表示材料内部比例，格内数字表示实际数量	材料｜复制类型｜数量｜材料内比例	材料甲｜相邻复制｜十二｜百分之四十；材料乙｜相邻复制｜八｜百分之二十五；材料丙｜大片段复制｜十｜百分之三十五	12｜8｜10	blue｜blue｜blue	成员数量	材料甲和材料乙的相邻复制比例谁更高？	材料甲为百分之四十，高于材料乙的百分之二十五。	每个材料的类型比例合计为百分之百，实际数量能与逐基因表对应。	材料类型合计不等于总成员数、比例基准不一致或材料标签缺失时先暂停。	下一步按家族分组比较复制类型，查看不同分支是否呈现不同来源组成。
8.3	家族分组与复制类型交叉，回答某个分支的成员主要以哪种位置关系出现。	分组比较可提示家族内部不同分支的扩展历史可能不同，但不能单凭组成证明先后顺序。	基因｜家族分组｜复制类型｜所属材料	基因甲｜甲组｜相邻复制｜材料甲	按家族分组和复制类型补齐组合，统计基因数与独立材料数，避免单一材料主导。	matrix	家族分组与复制类型交叉分布	家族分组	复制类型	颜色表示基因数，格内同时报告独立材料数	家族分组｜复制类型｜基因数｜材料数	甲组｜相邻复制｜十五｜六；甲组｜大片段复制｜四｜三；乙组｜远处复制｜九｜五	15｜4｜9	blue｜blue｜blue	成员数量	甲组的主要复制类型是什么？	甲组相邻复制有十五个最多，且来自六个材料；仍要结合大片段证据解释来源。	每格同时报告基因数和材料数，零值完整，合计与成员表一致。	某格基因很多却只来自一个材料，或分组标签大量缺失时先暂停。	下一步把复制类型与成员有无四类交叉，查看少见成员的来源组成。
8.4	成员有无类型描述出现范围，复制类型描述产生位置，两者交叉但含义不同。	交叉查看可探索少见成员是否更多来自某类复制，同时保留材料数量作为限制。	基因｜成员有无类型｜复制类型｜材料数	基因甲｜较少见｜相邻复制｜三	按成员有无类型和复制类型统计基因数、家族组数与材料数，补齐没有记录的组合。	matrix	成员有无类型与复制类型分布	成员有无类型	复制类型	颜色表示基因数，数字旁注明涉及家族组数	成员类型｜复制类型｜基因数｜家族组数	普遍｜大片段复制｜十八｜十五；较少见｜相邻复制｜七｜六；单材料｜远处复制｜三｜三	18｜7｜3	blue｜blue｜blue	成员数量	较少见成员中哪类复制记录最多？	相邻复制有七个最多，但不能由此认定相邻复制造成了少见分布。	所有基因各有一个成员类型和一个复制类型，交叉合计不重不漏。	任何一类标签缺失、待定复制被误当正式类型或基因重复计数时先暂停。	下一步比较不同复制类型成员的基因长度和片段数量。
8.5	结构差异是复制后基因可能发生变化的表现之一，也可能来自注释完整度不同。	把复制类型与结构指标连接，可筛选需要复核的异常成员和候选变化模式。	基因｜复制类型｜基因长度｜片段数	基因甲｜相邻复制｜三千二百｜五	按复制类型展示逐材料结构值、中间位置和范围，并标记不完整记录。	distribution	不同复制类型的基因结构分布	复制类型	结构指标数值	圆点表示材料内典型值，粗线表示类型中间位置	复制类型｜材料数｜中间长度｜中间片段数	相邻复制｜六｜三千二百｜五；远处复制｜五｜四千一百｜七；大片段复制｜四｜三千六百｜六	3200｜4100｜3600	blue｜green｜orange	中间长度	哪类复制成员的典型片段数最多？	远处复制的中间片段数为七最多，但要先排除注释质量差异。	每类含多个材料，逐基因记录可回查，缺失和截断状态没有被隐藏。	差异完全由一个低质量材料造成、某类材料太少或结构版本不一致时先暂停。	下一步检查大片段对应关系，判断远距离成员是否位于保持相邻顺序的区域。
8.6	大片段对应关系要求两个区域中有多个相邻基因按相似顺序出现，不是只找到一对相似基因。	成片段证据能支持远距离复制来源，也可区分单基因相似与区域级保留。	区域甲基因｜区域乙基因｜相邻序号｜方向一致	基因甲｜基因丁｜一｜是	比较两个染色体区域的全部相邻基因，画出一一对应连线，并统计连续对应数量和方向。	links	两个染色体区域的连续对应关系	两个染色体区域	对应基因连线	同色连线表示连续对应，橙线表示目标家族成员	区域甲｜区域乙｜连续对应基因数｜目标成员对数	第一染色体一区｜第三染色体二区｜八｜二；第二染色体三区｜第五染色体一区｜二｜一	8｜2	blue｜green	连续对应关系数量	哪一对区域更支持大片段对应？	第一染色体一区与第三染色体二区有八个连续对应基因，证据强于只有两个对应的另一对区域。	目标成员周围存在多对连续对应基因，坐标、方向和染色体版本一致。	只有单个目标基因对应、周围基因顺序不连续或染色体版本混用时先暂停。	下一步为可靠成对成员计算两类编码变化，进入变化速度分析。
9.1	两类编码变化分别指会改变蛋白组成和不会改变蛋白组成的变化，它们的比值只是一条比较线索。	在同一家族组内比较成员对，可描述哪些成员对变化更快，并筛出需要复核的异常值。	家族组｜成员甲｜成员乙｜可比较长度	组甲｜基因甲｜基因乙｜九百	在同组内选择可靠成员对，逐对计算两类变化率和比值，同时记录无法稳定计算的原因。	scatter	同一家族组成员对的编码变化	不改变蛋白组成的变化率	改变蛋白组成的变化率	每个点是一对成员，虚线表示两类变化率相等	成员对｜不改变组成变化率｜改变组成变化率｜比值	基因甲对基因乙｜零点二｜零点一｜零点五；基因甲对基因丙｜零点四｜零点三｜零点七五	0.5｜0.75	blue｜green	变化比值	哪一对成员的两类变化比值更高？	基因甲对基因丙的比值零点七五更高，但不能据此单独证明适应性变化。	成员对不重复、可比较长度足够，原始两类变化率和比值同时保留。	成员对重复、序列无法可靠配对、比值无穷或接近零的基准值未标记时先暂停。	下一步按材料组合汇总家族组成员对，查看物种间变化是否一致。
9.2	材料间成员配对要求先确认它们属于同一可靠家族组，再比较对应成员的编码变化。	跨材料汇总可描述哪些材料组合变化较快，同时避免把不同家族分支错配。	材料甲｜材料乙｜家族组｜成员对	材料甲｜材料乙｜组甲｜基因甲对基因乙	按材料组合和家族组建立唯一成员对，计算两类变化率并保留配对质量。	scatter	材料间家族成员对的编码变化	不改变蛋白组成的变化率	两类变化比值	每个圆点对应一行材料组合和家族组，旁边直接写出成员对数与中间比值	材料组合｜家族组｜成员对数｜中间比值	材料甲对材料乙｜组甲｜十二｜零点六；材料甲对材料丙｜组甲｜十｜零点八	0.6｜0.8	blue｜green	中间变化比值	哪个材料组合的中间比值更高？	材料甲对材料丙为零点八更高，但还要看成员对数和变化率范围。	每个成员对来源清楚，材料组合方向固定，配对质量通过检查。	同一成员被多次配对、家族组关系不可靠或材料组合方向混乱时先暂停。	下一步按复制类型给成员对分组，比较不同复制来源的变化速度。
