chapter	module	evidence_id	artifact_role	expected_relative_path	required_fields_or_properties	validation_method	acceptance_rule	page_slot_id	status	notes
8	duplication	C8-STRUCTURE-STATS	复制类型结构统计	results/08_duplication/duplication_structure_global_tests.tsv；duplication_structure_pairwise_tests.tsv；duplication_structure_statistics_qc.tsv	stable_id one-to-one/analysis_unit/test_status/inference_warning/BH/effect size	join audit + schema + boundary audit	连接唯一；推断单位为 SPECIES_MEDIAN；重复不足时 P 值为 NA	toy-chapter-8	VERIFIED	2026-08-20 隔离 toy 已生成 6 行整体和 6 行两两统计；每种模式仅 1 个物种，按设计暂停推断。
8	duplication	C8-STRUCTURE-FIG	复制类型结构比较图	results/08_duplication/duplication_structure_comparisons.pdf/.png	species-median points + inference note	artifact + visual review	图件非空且不得把重复不足显示为显著差异	toy-chapter-8	VERIFIED	2026-08-20 隔离 toy 图件已人工复核；面板明确标注推断暂停和无物种单元变异。
8	duplication	C8-FAIL	外群/多模式失败	toy_evidence/ch08_failure/	真实冲突模式或缺外群日志	reproduce	fail closed	toy-chapter-8	TEST_COVERED_NOT_CAPTURED	相关 fail-closed 行为有回归测试；本轮没有把失败日志复制到专用目录。
8	synteny	C8-SYNTENY	未支持证据槽	NONE_CURRENTLY	未来 blocks/anchors/Circos	不存在性审计	未实现前页面持续标 NOT_SUPPORTED	toy-chapter-8	NOT_APPLICABLE	当前能力矩阵明确为 NOT_SUPPORTED；toy 未生成替代物。
9	kaks	C9-PAIRS	Ka/Ks pair 表	results/09_kaks/kaks_pairs.tsv	pair_id/pair_type/group_id/Ka/Ks/Ka_Ks/qc_status/qc_message	schema + numeric/QC audit	失败/饱和/零 Ks 不静默删	toy-chapter-9	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
9	kaks	C9-CACHE	pair cache	work/09_kaks/pairs/<pair_id>/result.json	pair_signature/qc_status/result	signature audit	相同输入可 resume	toy-chapter-9	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
9	kaks	C9-FIG	整体分布图	results/09_kaks/kaks_distribution.pdf	真实有效 pair 分组	visual + table linkage	图可由表复核	toy-chapter-9	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
9	kaks	C9-STRATIFIED	四类配对分层	results/09_kaks/kaks_stratified_summary.tsv；kaks_stratified_distributions.pdf/.png	subfamily/group/pan-class/duplication-mode strata；n/median/q1/q3/min/max	stratum semantics + table recomputation + visual review	Mixed/Unassigned 明确；非独立 pair 警告可见	toy-chapter-9	VERIFIED	2026-08-21 隔离 toy 使用有效 duplication pair 生成 12 行描述性汇总；不执行显著性推断。
9	kaks	C9-FAIL	失败 pair	toy_evidence/ch09_failure/	CDS mod3/aligner/calculator 失败真实记录	reproduce	失败记录留在表中	toy-chapter-9	TEST_COVERED_NOT_CAPTURED	相关 fail-closed 行为有回归测试；本轮没有把失败日志复制到专用目录。
10	promoter	C10-COORD	启动子坐标	results/10_promoter/promoter_coordinates.tsv	stable_id/promoter_length/promoter_qc/边界与 overlap 字段	bounds + strand audit	坐标合法且 QC 可解释	toy-chapter-10	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
10	promoter	C10-HITS	motif hits	results/10_promoter/promoter_elements.tsv	stable_id/element/major_class/subclass/FIMO stats	schema + ID mapping	ID 全映射、版本/阈值可追溯	toy-chapter-10	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
10	promoter	C10-DIST	五层级分布长表	results/10_promoter/promoter_element_distributions.tsv	aggregation_level/cell_id/element/raw/rate/n/z-score/status/axis/ddof	zero-grid + denominator + recomputation	物种×亚家族、亚家族、物种、群体、群体×亚家族网格闭合；raw/rate/z-score 可重算	toy-chapter-10	VERIFIED	2026-08-21 隔离扩展 toy 新增 group×subfamily 层，总交互网格 16 行且 raw/rate/z-score 可重算。
10	promoter	C10-DIST-QC	分布质量门	results/10_promoter/promoter_distribution_qc.tsv	eligible/excluded genes、cells、elements、grid rows、zero-length、axis、ddof、status	schema + closure audit	五层级均显式报告分母与排除数；无静默缺失	toy-chapter-10	VERIFIED	2026-08-21 隔离扩展 toy 五个层级均保留 QC 状态。
10	promoter	C10-SCALE	五层级标准化热图	results/10_promoter/promoter_*_zscore_heatmap.pdf/.png	per-element hits_per_kb population z-score；gray=missing denominator	artifact + table linkage + visual review	五组 PDF/PNG 非空；颜色可由分布表重算；不称显著富集	toy-chapter-10	VERIFIED	2026-08-21 隔离扩展 toy 已新增群体×亚家族标准化热图并人工复核。
10	promoter	C10-CONTRACT	rule/script 合约回归	toy_evidence/ch10_contract_test/	input/params/output 名称一致性测试	pytest + Snakemake target	修复四类 mismatch 后 target 成功	toy-chapter-10	VERIFIED_BY_TESTS	对应正常结果或合约由 canonical outputs 与自动测试验证，未重复复制到 toy_evidence。
10	promoter	C10-NORMAL	典型正常输出	toy_evidence/ch10_normal/	真实 coordinates/hits/XLSX/PDF/PNG	自动+人工	本章 QC 通过	toy-chapter-10	VERIFIED_BY_TESTS	对应正常结果或合约由 canonical outputs 与自动测试验证，未重复复制到 toy_evidence。
10	promoter	C10-FAIL	典型失败输出	toy_evidence/ch10_failure/	unknown promoter ID/缺输出字段真实错误	reproduce	fail closed	toy-chapter-10	TEST_COVERED_NOT_CAPTURED	相关 fail-closed 行为有回归测试；本轮没有把失败日志复制到专用目录。
11	expression	C11-MATRIX	表达矩阵	results/11_expression/expression_matrix.tsv	stable_id/species_id/gene_id/subfamily/sample columns/data status	schema + mask audit	MISSING_IN_INPUT 与 NOT_APPLICABLE 明确	toy-chapter-11	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
11	expression	C11-LONG	长表/汇总	results/11_expression/expression_long.tsv	stable_id/sample/expression_value/detected/status	reshape recomputation	wide/long 一致	toy-chapter-11	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
11	expression	C11-FIG	描述热图	results/11_expression/expression_heatmap.pdf	transform 与 mask 可见	visual + table linkage	不把 TPM 热图称 DE	toy-chapter-11	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
11	expression	C11-DE	外部 DE 证据	toy_evidence/external_de/differential_expression_results.tsv	stable_id/contrast/log2FoldChange/pvalue/padj/baseMean/direction/method/design_id	schema + provenance	仅 raw-count 合规模型通过	toy-chapter-11	NOT_PROVIDED	toy 无 raw-count DE 设计和结果；描述性表达不能替代。
11	expression	C11-FAIL	缺失/不适用失败样例	toy_evidence/ch11_failure/	当前 0.0 混入或 metadata 缺失的真实回归例	pytest	修复后明确 mask	toy-chapter-11	TEST_COVERED_NOT_CAPTURED	相关 fail-closed 行为有回归测试；本轮没有把失败日志复制到专用目录。
