dataset_id	study_accession	sample_id	run_id	file_role	url	md5	bytes	library_layout	ena_secondary_sample	biosample_accession	experiment_accession	source_url	fetched_at_utc	download_status
GSE101734	SRP113286	GSM2714237	SRR5856932	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/002/SRR5856932/SRR5856932_1.fastq.gz	f2ff6b13d265285d84a865631a9144de	1476207623	PAIRED	SRS2374919	SAMN07375260	SRX3025836	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714237	SRR5856932	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/002/SRR5856932/SRR5856932_2.fastq.gz	50b73317a050207fdce617c7b78b6bb1	1399530873	PAIRED	SRS2374919	SAMN07375260	SRX3025836	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714238	SRR5856933	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/003/SRR5856933/SRR5856933_1.fastq.gz	fd02fc80e9110fb0bfa278f82e454fa3	1904032596	PAIRED	SRS2374920	SAMN07375259	SRX3025837	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714238	SRR5856933	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/003/SRR5856933/SRR5856933_2.fastq.gz	3a5070ad5d08167491fb16c0c05269a6	1775457287	PAIRED	SRS2374920	SAMN07375259	SRX3025837	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714239	SRR5856934	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/004/SRR5856934/SRR5856934_1.fastq.gz	8c987adbebecd1408630b01682e32ea4	1723085657	PAIRED	SRS2374921	SAMN07375258	SRX3025838	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714239	SRR5856934	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/004/SRR5856934/SRR5856934_2.fastq.gz	e7988d2065cc959909b514a25dfdb498	1620224696	PAIRED	SRS2374921	SAMN07375258	SRX3025838	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714240	SRR5856935	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/005/SRR5856935/SRR5856935_1.fastq.gz	56860308d9c4f6658e96cb1e2abfa358	1961544290	PAIRED	SRS2374922	SAMN07375257	SRX3025839	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714240	SRR5856935	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/005/SRR5856935/SRR5856935_2.fastq.gz	e1f4848636ce20eb144a45e67fcf5edd	1947022484	PAIRED	SRS2374922	SAMN07375257	SRX3025839	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714241	SRR5856936	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/006/SRR5856936/SRR5856936_1.fastq.gz	50135cfb51ed50c22114f75ebcd18db2	2960891634	PAIRED	SRS2374923	SAMN07375256	SRX3025840	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714241	SRR5856936	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/006/SRR5856936/SRR5856936_2.fastq.gz	330ef42d724f8bfe62dd594b57d523b0	2939738280	PAIRED	SRS2374923	SAMN07375256	SRX3025840	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714242	SRR5856937	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/007/SRR5856937/SRR5856937_1.fastq.gz	c119c6eabfd9caa177753896851f0133	2335739015	PAIRED	SRS2374924	SAMN07375255	SRX3025841	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714242	SRR5856937	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/007/SRR5856937/SRR5856937_2.fastq.gz	2b6ff3dd4d3167d0cfd3094c83de59c3	2278138723	PAIRED	SRS2374924	SAMN07375255	SRX3025841	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714243	SRR5856938	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/008/SRR5856938/SRR5856938_1.fastq.gz	c03a050ab5c0f8107b2479430883b0fe	2761798750	PAIRED	SRS2374925	SAMN07375253	SRX3025842	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714243	SRR5856938	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/008/SRR5856938/SRR5856938_2.fastq.gz	3eb9aba34e0cfd33101e881d8a78ee9d	2797969273	PAIRED	SRS2374925	SAMN07375253	SRX3025842	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177576	SRR3588113	orphan_unpaired	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3588113/SRR3588113.fastq.gz	23c861c6c63f37b692fab16c080ebbda	100699248	PAIRED	SRS1467655	SAMN05177709	SRX1800508	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177576	SRR3588113	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3588113/SRR3588113_1.fastq.gz	da2ad3038a23dc2a9d40f4d1b9366518	1194187799	PAIRED	SRS1467655	SAMN05177709	SRX1800508	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177576	SRR3588113	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/003/SRR3588113/SRR3588113_2.fastq.gz	edc939f950f39e3f8844e2acc4f4120c	1212676045	PAIRED	SRS1467655	SAMN05177709	SRX1800508	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177576	SRR3588114	orphan_unpaired	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3588114/SRR3588114.fastq.gz	44fe66e7921230f1da535511e1a900b8	142545958	PAIRED	SRS1467655	SAMN05177709	SRX1800508	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177576	SRR3588114	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3588114/SRR3588114_1.fastq.gz	de24f771672bf483b34f67858941be1d	112451000	PAIRED	SRS1467655	SAMN05177709	SRX1800508	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177576	SRR3588114	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/004/SRR3588114/SRR3588114_2.fastq.gz	4c58fd0aeaa5eaa59e6d0fad39a713eb	112983253	PAIRED	SRS1467655	SAMN05177709	SRX1800508	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177577	SRR3588115	orphan_unpaired	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/005/SRR3588115/SRR3588115.fastq.gz	9aa06818c905c04d0f0974d727bb1ab5	91045167	PAIRED	SRS1467656	SAMN05177710	SRX1800509	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177577	SRR3588115	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/005/SRR3588115/SRR3588115_1.fastq.gz	af59aef1a59d33ddaaa539e2e01f3e97	1111158889	PAIRED	SRS1467656	SAMN05177710	SRX1800509	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177577	SRR3588115	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/005/SRR3588115/SRR3588115_2.fastq.gz	19c848a468d333f8867ac400030cce7d	1119168185	PAIRED	SRS1467656	SAMN05177710	SRX1800509	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177577	SRR3588116	orphan_unpaired	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/006/SRR3588116/SRR3588116.fastq.gz	6e336e279693cb1c43c7d008a44fe597	129135146	PAIRED	SRS1467656	SAMN05177710	SRX1800509	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177577	SRR3588116	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/006/SRR3588116/SRR3588116_1.fastq.gz	79a5ec5a365fa00e42c6612f5e45c0cd	102311014	PAIRED	SRS1467656	SAMN05177710	SRX1800509	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177577	SRR3588116	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/006/SRR3588116/SRR3588116_2.fastq.gz	5e82ba1f1997b82d6b3663b3f87441a5	102150864	PAIRED	SRS1467656	SAMN05177710	SRX1800509	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177578	SRR3588117	orphan_unpaired	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/007/SRR3588117/SRR3588117.fastq.gz	f4d446dae51190775fd3c97de571e926	108136149	PAIRED	SRS1467657	SAMN05177711	SRX1800510	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177578	SRR3588117	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/007/SRR3588117/SRR3588117_1.fastq.gz	4d5428c41a0fc7a1258ae4a656df8816	1293502523	PAIRED	SRS1467657	SAMN05177711	SRX1800510	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177578	SRR3588117	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/007/SRR3588117/SRR3588117_2.fastq.gz	eed583915e49ef6f4aade2372b70db96	1310070521	PAIRED	SRS1467657	SAMN05177711	SRX1800510	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177578	SRR3588118	orphan_unpaired	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR3588118/SRR3588118.fastq.gz	2bb22cc5cded5540bc7cf1df09435ea2	153595590	PAIRED	SRS1467657	SAMN05177711	SRX1800510	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177578	SRR3588118	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR3588118/SRR3588118_1.fastq.gz	20d573983db40edf6e79ac5860a31bdb	116515887	PAIRED	SRS1467657	SAMN05177711	SRX1800510	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177578	SRR3588118	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR3588118/SRR3588118_2.fastq.gz	87b1ca4e2b06ddf1091dd3d0fc377bdc	116828197	PAIRED	SRS1467657	SAMN05177711	SRX1800510	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177579	SRR3588119	orphan_unpaired	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3588119/SRR3588119.fastq.gz	476043016f5eaa2f4093c481e450ba7c	120816065	PAIRED	SRS1467658	SAMN05177712	SRX1800511	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177579	SRR3588119	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3588119/SRR3588119_1.fastq.gz	7205ea81e9c81b1dc64f1cfb76a4df63	1441098444	PAIRED	SRS1467658	SAMN05177712	SRX1800511	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177579	SRR3588119	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/009/SRR3588119/SRR3588119_2.fastq.gz	8717c3dce9d22a9fdecb4276a461ae6e	1468681523	PAIRED	SRS1467658	SAMN05177712	SRX1800511	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE81906	SRP075722	GSM2177579	SRR3588120	orphan_unpaired	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/000/SRR3588120/SRR3588120.fastq.gz	b43180d7952e94f3436fadc5807e69d7	171075810	PAIRED	SRS1467658	SAMN05177712	SRX1800511	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP075722&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
