dataset_id	sample_id	matrix_column	tissue_code	tissue	biological_replicate	library_role	include	reference_version	official_url
GSE229334	GSM7158949	Input1_A4_3	A4	stem	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158949
GSE229334	GSM7158950	Input1_A5_1	A5	leaf sheath	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158950
GSE229334	GSM7158951	Input1_A5_2	A5	leaf sheath	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158951
GSE229334	GSM7158952	Input1_A5_3	A5	leaf sheath	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158952
GSE229334	GSM7158953	Input1_A6_1	A6	auricle, ligule and lamina joint	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158953
GSE229334	GSM7158954	Input1_A6_2	A6	auricle, ligule and lamina joint	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158954
GSE229334	GSM7158955	Input1_A6_3	A6	auricle, ligule and lamina joint	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158955
GSE229334	GSM7158956	Input1_A7_1	A7	leaf blade	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158956
GSE229334	GSM7158957	Input1_A7_2	A7	leaf blade	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158957
GSE229334	GSM7158958	Input1_A7_3	A7	leaf blade	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158958
GSE229334	GSM7158959	Input2_A8_1	A8	spike neck	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158959
GSE229334	GSM7158960	Input2_A8_2	A8	spike neck	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158960
GSE229334	GSM7158961	Input2_A8_3	A8	spike neck	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158961
GSE229334	GSM7158962	Input2_A9_1	A9	mature spikelet	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158962
GSE229334	GSM7158963	Input2_A9_2	A9	mature spikelet	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158963
GSE229334	GSM7158964	Input2_A9_3	A9	mature spikelet	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158964
GSE229334	GSM7158965	Input2_A10_1	A10	pistil	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158965
GSE229334	GSM7158966	Input2_A10_2	A10	pistil	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158966
GSE229334	GSM7158967	Input2_A10_3	A10	pistil	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158967
GSE229334	GSM7158968	Input2_A11_1	A11	pollen	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158968
GSE229334	GSM7158969	Input2_A11_2	A11	pollen	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158969
GSE229334	GSM7158970	Input2_A11_3	A11	pollen	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158970
GSE229334	GSM7158971	Input2_A12_1	A12	Seed I	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158971
GSE229334	GSM7158972	Input2_A12_2	A12	Seed I	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158972
GSE229334	GSM7158973	Input2_A12_3	A12	Seed I	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158973
GSE229334	GSM7158974	Input2_A13_1	A13	Seed II	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158974
GSE229334	GSM7158975	Input2_A13_2	A13	Seed II	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158975
GSE229334	GSM7158976	Input2_A13_3	A13	Seed II	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158976
GSE229334	GSM7158977	Input2_A14_1	A14	Seed III	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158977
GSE229334	GSM7158978	Input2_A14_2	A14	Seed III	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158978
GSE229334	GSM7158979	Input2_A14_3	A14	Seed III	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158979
